Ehemaliges Regierungsmitglied,Datum,Kontakt zu:,Beteiligte (Gesprächsthema)
Ronald Pofalla,22.05.2014,Gesundheitsministerium,St Lutz Stroppe (allgemeiner Austausch)
Eckart von Klaeden,22.05.2014,Verteidigungsministerium,St Gerd Hoofe (Nutzung freigewordener Bw-Flächen – StO Calw)
Ronald Pofalla,22.04.2020,Wirtschaftsministerium,St Ulrich Nußbaum (Bombardier)
Ronald Pofalla,22.02.2019,Auswärtiges Amt,BM Heiko MAuswärtiges Amts (Petersburger Dialog)
Katherina Reiche,22.01.2018,Bildungsministerium,PSt Michael Meister (Kommunales)
Ronald Pofalla,21.10.2019,Verkehrsministerium,PSt Enak Ferlemann (Sitzung der Landesgruppe Niedersachsen)
Ronald Pofalla,21.10.2019,Entwicklungshilfeministerium,PSt‘in Maria Flachsbarth (Sitzung der Landesgruppe Niedersachsen)
Brigitte Zypries,21.09.2018,Auswärtiges Amt,BM Heiko MAuswärtiges Amts (Wahlkampf-Auftritt bei LT-Wahlen in Hessen)
Katherina Reiche,21.08.2019,Wirtschaftsministerium,St Andreas Feicht (Gesetz zur Digitalisierung der Energiewende)
Ronald Pofalla,21.08.2018,Wirtschaftsministerium,St Ulrich Nußbaum (Kohlekommission)
Ronald Pofalla,21.06.2019,Finanzministerium/Verkehrsministerium,"St Werner Gatzer, St Gerhard Schulz (LufV)"
Eckart von Klaeden,21.05.2019,Bundeskanzleramt,StM Hendrik Hoppenstedt (Gespräch mit Arbeitnehmervertretern im Aufsichtsrat der Daimler AG)
Steffen Kampeter,21.03.2018,Wirtschaftsministerium,BM Peter Altmaier
Eckart von Klaeden,21.02.2019,Verkehrsministerium,BM Andreas Scheuer
Eckart von Klaeden,21.02.2019,Entwicklungshilfeministerium,BM Gerd Müller; PSt Norbert Barthle (Austausch zu synthetischen Kraftstoffen)
Dirk Niebel,21.01.2019,Auswärtiges Amt,St Walter Lindner (Telefonat zu versch. Themen)
Katherina Reiche,21.01.2019,Wirtschaftsministerium,PSt Thomas Bareiß (VKU-Kamingespräch mit Stadtwerkschefs und Unternehmern)
Ronald Pofalla,20.12.2019,"Finanzministerium, Verkehrsministerium","St Werner Gatzer, St Michael Güntner, PSt Enak Ferlemann (Mittelverwendung Eigenkapitalerhöhung 2020-2030)"
Katherina Reiche,20.11.2018,Entwicklungshilfeministerium,PSt Norbert Barthle (Engagement deutscher Kommunen in GRC)
Katherina Reiche,20.10.2015,Bundeskanzleramt,StM Helge Braun (VKU-Verbandstag)
Katherina Reiche,20.08.2020,Bildungsministerium,St Wolf-Dieter Lukas (Wasserstoffrat)
Katherina Reiche,20.08.2019,Wirtschaftsministerium,St Andreas Feicht (CO2-Bepreisung)
Katherina Reiche,20.08.2019,Wirtschaftsministerium,St Andreas Feicht (Gesprächsrunde Weiterentwicklung KWKG)
Daniel Bahr,20.08.2018,Gesundheitsministerium,BM Jens Spahn (e-health)
Daniel Bahr,20.08.2018,Gesundheitsministerium,BM Jens Spahn (eHealth und vivy)
Sigmar Gabriel,20.05.2020,Bundeskanzleramt,BM Helge Braun (Entwurf ArbeitsschutzkontrollG)
Ronald Pofalla,20.05.2020,Wirtschaftsministerium,BM Peter Altmaier (Bahnprojekte)
Ronald Pofalla,20.04.2020,Finanzministerium,St Werner Gatzer (Stuttgart 21)
Ronald Pofalla,20.04.2015,Wirtschaftsministerium,St Stefan Kapferer
Steffen Kampeter,20.03.2017,Bundeskanzleramt,BK’in Angela Merkel (Gespräch mit dem gemeinsamen Präsidium von BDA und BDI)
Jan Mücke,20.03.2014,Wirtschaftsministerium,"St Stefan Kapferer, St Rainer Bomba"
Ronald Pofalla,20.02.2020,Finanzministerium,St Werner Gatzer (Haushalt)
Eckart von Klaeden,20.02.2019,Bundeskanzleramt,BM Helge Braun (allgemeine politische Lage)
Steffen Kampeter,20.02.2019,Bundeskanzleramt,StM’n Dorothee Bär (KeyNote beim OPMC im Haus der Wirtschaft)
Ronald Pofalla,20.02.2019,Finanzministerium,"St Werner Gatzer (Bundeshaushalt, u. a. Digitalisierung Schiene, Investitionen, Beteiligungsmanagement)"
Steffen Kampeter,20.01.2021,Bundeskanzleramt,BM HelgeBraun (Antrittsgespräch mit BDA-Präs. Dulger; Begl. durch HGF Kampeter)
Katherina Reiche,20.01.2021,Finanzministerium,BM Olaf Scholz (Eingangsstatement beim Nationalen Wasserstoffrat)
Hildegard Müller,20.01.2021,Verkehrsministerium,BM Andreas Scheuer und zahlreiche weitereTeilnehmer (Deutsches Zentrum für die Zukunft der Mobilität)
Eckart von Klaeden,20.01.2020,Wirtschaftsministerium,BM Peter Altmaier (Elektromobilität)
Eckart von Klaeden,20.01.2020,Wirtschaftsministerium,"St Ulrich Nußbaum (Umweltbonus, E-Auto)"
Dirk Niebel,20.01.2017,Wirtschaftsministerium,BM Sigmar Gabriel
Steffen Kampeter,19.12.2018,Bildungsministerium,St Christian Luft (BBiG-Novelle)
Steffen Kampeter,19.11.2018,Wirtschaftsministerium,BM Peter Altmaier (Abendessen mit Wirtschaftsverbänden)
Ronald Pofalla,19.10.2018,Wirtschaftsministerium,BM Peter Altmaier (Kohlekommission)
Ronald Pofalla,19.09.2018,Finanzministerium,"St Werner Gatzer (Bundeshaushalt, u. a. Digitalisierung Schiene, Investitionen, Beteiligungsmanagement)"
Uwe Beckmeyer,19.06.2020,Bildungsministerium,PSt Michael Meister (Alfred-Wegener-Institut)
Steffen Kampeter,19.06.2018,Bildungsministerium,"BM’in Anja Karliczek, (Berufliche Bildung)"
Ronald Pofalla,19.06.2018,Wirtschaftsministerium,St Ulrich Nußbaum (Kohlekommission)
Steffen Kampeter,19.05.2021,Finanzministerium,BM Olaf Scholz (Antrittsbesuch des neuen BDA-Präsidenten Rainer Dulger)
Eckart von Klaeden,19.05.2020,Bundeskanzleramt,StM Hendrik Hoppenstedt (Gesprächskreis mit Vertretern von Unter- nehmen und Wirtschaftsverbänden zu den wirtschaftlichen Folgen des Coronavirus)
